company_name,website,City,segment,what_they_make, revenue_band ,decision_maker,decision_maker_role,decision_maker_background,c1_score,c1_evidence,c2_score,c2_evidence,c3_score,c3_evidence,c4_score,c4_evidence,c5_score,c5_evidence,c6_score,c6_evidence,overall_verdict,verdict_reason,personalization_hook
Axiom Chemicals,https://www.axiomchemicals.in/ ,Vadodara,performance chemicals,"chemical manufacturer, exporter, and supplier",Rs.300-500Cr,Mr. Amit,CEO,,weak,Website mentions manufacturing but no clear plant/facility details provided,strong,Vadodara-based company with operations in India,moderate,Offers industrial chemicals but no clear niche products or proprietary technologies highlighted,weak,CEO identified but no publicly available background found,strong,massive tailwind from India's PLI scheme for advanced chemistry cells.,weak,"No visible hiring, expansion announcements, or recent certifications",borderline,"Lacks clear differentiation, weak growth signals, and no evidence of technical leadership",Axiom's lithium salts portfolio is directly riding India's EV battery boom — a founder conversation around scaling export capacity or PLI-linked growth could be a strong opener.
Angel Chemicals Pvt. Ltd.,https://angelchembaroda.com/ ,Vadodara,performance chemicals,"manufacturing and supplying a wide range of Water Treatment Chemical, Water Treatment Plant, Boiler Water Chemical, Water Analysis Equipment, etc", <Rs.10Cr ,Nitin Patel,CEO,"Gujarat University, B.sc, Chemistry",weak,"Claims manufacturing, but product list (alum, activated carbon, citric acid) indicates standard chemicals with no plant or capacity details provided",strong,Based in Vadodara with operations in Vadsala and Makarpura GIDC,weak,Product portfolio consists of commodity water treatment chemicals with no niche or proprietary formulations,strong,CEO is from science background,moderate,"Operates in water treatment chemicals, a stable but not high-growth specialty segment",weak,"No visible hiring, expansion announcements, or recent certifications",fail,"Commodity product mix, unclear manufacturing capability, weak growth signals, and limited differentiation",
Maxwell Additives Pvt. Ltd.,https://maxwelladditives.com/ ,Vadodara,performance chemicals,"Water treatment, corrosion inhibitors, phosphonates, antiscalants, dispersant polymers", Rs.10-50Cr ,Prajesh Shah,CEO & MD,,strong,Operates 3 manufacturing units in Vadodara with ~4000 MT/year capacity and 35+ years of operations,strong,Headquartered in Vadodara with additional presence in Delhi; fully India-based manufacturing,strong,"Produces specialty water treatment chemicals including phosphonates (ATMP, DTPMP, HEDP, PBTC), polymers, and quats under proprietary brands (OLKLIN, POLYMAN, PHOSPHOMAN)",weak,CEO identified but no publicly available background found,strong,"Operates in water treatment and industrial chemicals, benefiting from increasing demand across sectors like oil & gas and process industries",strong,"Holds multiple ISO certifications (QMS, EMS, FSMS, OHSAS) and has expanded presence with a Delhi branch",strong fit,"Established manufacturer with clear product differentiation, proprietary brands, and strong operational scale despite unclear technical leadership","35+ year specialty chemical manufacturer with 3 Vadodara plants, proprietary OLKLIN/POLYMAN product lines, multi-sector presence, and active growth signals including weekly content and ISO certifications."
LAVEEK ADDCHEM,https://laveekaddchem.com/ ,Vadodara,performance chemicals,"Polymer Stabilization,supplying Additives and Concentrates", Rs.10-50Cr ,Deepak Singh Hada,Founder & CEO,"Dr. Babasaheb Ambedkar University, BCA, Gold Medalist and Jaipur National University, MCA",weak,"Website mentions manufacturing but no clear plant, production capacity, or facility details provided",strong,"Headquartered in Vadodara, Gujarat with India-based operations",moderate,"Focuses on niche plastic additives such as antioxidants, UV stabilizers, photoinitiators, and optical brighteners",weak,Founder has a BCA/MCA background with no visible technical or chemical engineering experience,moderate,"Operates in plastic additives, a growing segment driven by demand in polymers and packaging industries",moderate,"ISO 9001:2015 certified, reports 850+ customers and international collaborations, but limited scale and early-stage (founded 2019)",borderline,Strong market positioning in a growing niche but lacks clear manufacturing capability and technical leadership,"Laveek is aggressively building its plastic additives distribution network with 850+ customers — a conversation with Deepak around scaling his supply chain or building proprietary formulations could be interesting, but the non-technical founder background is a red flag for DeepThought's ICP"
Allchem Lifescience Ltd,https://www.allchemlifescience.com/ ,Vadodara,specialty chemicals,Pharmaceuticals and specialty chemicals, Rs.100-300Cr ,Bipin Patel,Founder & MD,M.Sc. From University of Baroda in chemistry,strong,"Operates a full manufacturing facility at Savli, Vadodara with hydrogenation plant, distillation units, and in-house labs",strong,"Headquartered and manufacturing in Vadodara, Gujarat",strong,Produces specialized pharma intermediates including piperazine and cycloalkane derivatives with hydrogenation capabilities,strong,CEO is from science background,strong,"Operates in pharma intermediates, benefiting from China+1 shift and growth in Indian pharma exports",strong,"Recently completed IPO, US FDA audited, and has expanded manufacturing capabilities",strong fit,"Textbook Federer. Scientist-led company with strong manufacturing capabilities, niche intermediates, and operating in a high-growth pharma segment",Allchem just went through an IPO — a conversation with Bipin Patel around scaling their piperazine derivatives capacity or positioning for new pharma export contracts post-listing would be a highly relevant opener
Simalin Chemical Industries Private Ltd,https://simalin.com/ ,Vadodara,performance chemicals,"polymar additives, resins, water treatment chemicals", Rs.300-500Cr ,Ashok Patel,Founder & MD,M.Sc. From University of Southern California in Chemical Engineering and MBA from Drucker School of Management,strong,"Operates a manufacturing facility in Nandesari GIDC with production of formaldehyde, hexamine, paraformaldehyde, and methanol; established with technical collaboration from Chematur (Sweden)",strong,"HQ and plant fully in Vadodara. Offices in Ahmedabad, Mumbai, Delhi. 100% India-based.",moderate,"Produces industrial chemicals like formaldehyde and hexamine with technical collaboration, but overall product mix remains largely commodity",strong,Founder & MD holds M.Sc. in Chemical Engineering (USC) and MBA from Drucker School of Management,moderate,"Serves downstream industries like resins and rubber, which have stable but not high-growth demand",weak,"Website appears outdated (last updated ~2015–2016) with no visible hiring, expansion, or recent certifications",borderline,"Strong manufacturing base and technical leadership, but limited differentiation and weak visible growth signals","Real manufacturer at Nandesari GIDC with strong founder credentials (USC M.Sc. + MBA), but produces commodity chemicals (formaldehyde, methanol) with no visible growth signals since 2015."
Destiny Chemicals,https://destinychemicals.co.in/ ,Vadodara,specialty chemicals,"Potassium Chemical Compounds, Ammonium Chemical Compounds, Calcium Chemical Compounds, Sodium Chemical Compounds", Rs.10-50Cr ,Nikhil Shah,Founder & Owner,B.Sc. From SVME Nashik in Chemical Engineering,weak,"Claims manufacturing but no plant capacity, process details, or facility information provided; product list dominated by standard inorganic salts",strong,"Located in Nandesari GIDC, Vadodara with India-based operations",weak,"Portfolio consists of commodity inorganic salts (sodium, potassium, calcium, ammonium compounds) with no niche or proprietary formulations",strong,Founder & Owner — B.Sc. Chemical Engineering from SVME Nashik. Science background confirmed.,weak,Commodity inorganic salts — no meaningful sector tailwind.,weak,"No visible hiring, certifications, expansion activity, or recent updates; static website",fail,"Commodity product mix, unclear manufacturing capability, and lack of differentiation or growth signals",
P K Chlorochem Private Limited,https://www.pkchlorochem.com/ ,Vadodara,specialty chemicals,"Pharmaceutical industry, Dyestuff, Agrochemicals industry", Rs.10-50Cr ,Ketan Ramani,Director,,weak,Website describes the company as a chemical distribution business with no mention of manufacturing facilities or production capacity,strong,Based in Vadodara with India-based operations,weak,"Distributes commodity inorganic chemicals such as ammonium sulphate, potassium carbonate, and sodium sulphide with no proprietary products",weak,Director identified but no publicly available technical or scientific background found,moderate,"Operates in chemical supply chains serving multiple industries, though without direct exposure to high-growth specialty segments",weak,"Website appears outdated (~2019) with no visible hiring, expansion, or certification updates",fail,This is a distributor by their own description. Auto-drop.,"Not applicable — not a manufacturer, doesn't fit the ICP at all"
Seabert Chemicals Pvt. Ltd.,https://seabertchemicals.com/ ,Vadodara,specialty chemicals,"pharma ingredients, personal care, food and nutrition, feed fertilizer", <Rs.10Cr ,,,Not evaluated — auto-disqualified on revenue.,weak,No manufacturing facility or production details mentioned; office listed in a commercial area with a product mix suggesting trading,strong,"Based in Vadodara, Gujarat with India-based operations",weak,"Very broad catalogue across pharma, personal care, food, feed, fertilizers, and agro produce with no proprietary products",weak,No decision-maker information or technical background found,weak,Operates across multiple chemical and agro sectors with steady demand but no focused exposure to high-growth niches,weak,"Website appears outdated (~2020) with no visible hiring, expansion, or certification activity",fail,"Likely a distributor with no clear manufacturing capability, differentiation, or growth signals",Not applicable — doesn't fit the ICP
Divya Chemicals,https://www.divyachem.com/ ,Vadodara,performance chemicals,"anti corrosive coating, industrial resin flooring, adhesive & sealant, construction chemicals", Rs.10-50Cr ,Brijesh Mehta,Owner,,moderate,"Offers a range of coatings and construction chemicals, but also provides application and installation services, indicating a mixed product-service model",strong,Based in Vadodara with pan-India operations,moderate,"Works in niche areas like anti-corrosive coatings and passive fire protection, but very broad product range (500+ products) reduces specialization",weak,Owner identified but no publicly available technical or scientific background found,moderate,Operates in industrial coatings and construction chemicals with steady demand across infrastructure and maintenance sectors,weak,"No visible hiring, expansion, or certification signals; small team size and limited public activity",borderline,Real product presence in niche segments but diluted by service-heavy model and lack of clear growth or technical leadership signals,Divya Chemicals has been quietly serving industrial coatings and fire protection for 40 years — a conversation with Samir Shirolawala around formalizing their growth strategy or expanding their corrosion protection range into new industrial verticals could be compelling
Sara Incorporation,https://www.saraincorporation.co.in/ ,Vadodara,performance chemicals,"Industrial Chemicals, Aluminum Chlorohydrate Powder, Poly Aluminium Chloride Powder, Potassium Chloride Powder, Potassium Nitrate Powder, Sodium Aluminate Liquid,", Unknown ,,,Not evaluated — auto-disqualified on revenue.,weak,"Claims manufacturing but no plant, capacity, or production details provided; product mix suggests trading",strong,"Vadodara, Gujarat. India-based.",weak,"Portfolio consists of commodity inorganic chemicals (potassium chloride, sodium aluminate, PAC) along with unrelated consumer products, indicating lack of specialization",weak,Owner identified but no publicly available technical or scientific background found,moderate,Operates in chemical supply chains serving multiple industries with steady demand but no exposure to high-growth specialty segments,weak,"Founded in 2019 with no visible certifications, hiring activity, or expansion signals",fail,"Likely a trading-focused business with no clear manufacturing capability, differentiation, or growth indicators",Not applicable — doesn't fit the ICP
Technofill Additives,https://www.technofilladditives.com/ ,Vadodara,performance chemicals,"fluropolymers, polyisobutylene additives, additive masterbatches", <Rs.10Cr ,Mandipkumar Madha,Founder & MD,Over 15 years in the field of PIB compound and additive masterbatch manufacturing.,strong,"Operates a manufacturing facility in Vadodara producing PIB compounds, additive masterbatches, and fluoropolymer processing aids with in-house R&D lab (DSC, TGA, FTIR, QUV)",strong,Headquartered and manufacturing in Vadodara with national and international clients,moderate,"Focuses on niche polymer additives such as PIB compounds and fluoropolymer processing aids, though masterbatch segment is competitive",moderate,Founder has 15+ years of hands-on experience in additive masterbatch and PIB compound manufacturing,strong,"Operates in polymer additives and masterbatches, benefiting from growth in packaging and plastic processing industries",moderate,"Serves international clients and has expanded product offerings, though limited visibility on certifications or major expansions",fit,"Real manufacturer with niche polymer additive focus, experienced founder, and exposure to a growing industrial segment",Mandipkumar Madha built Technofill from scratch in a niche segment — a conversation around scaling their fluoropolymer processing aid range or breaking into export markets more aggressively would resonate with a hands-on founder like him.
R Chemine Products Private Limited,https://www.rchemine.com/ ,Vadodara,performance chemicals,"Functional Additives & Fillers for Plastics, Rubber, Paints, Coatings, Cosmetics & Printing Inks.", Rs.10-50Cr ,Raj Rajiv Parikh,Founder & Director,"Btech, Mechanical Engineering",moderate,"Claims manufacturing and has a branded product (R Chem Addwax), but no clear plant or production capacity details; listed as importer/distributor/trader on industry directories",strong,"Vadodara, Gujarat. Fully India-based.",moderate,"Offers functional additives across plastics, rubber, and coatings with one proprietary product line, but broad catalogue and presence of global brands indicate mixed distribution",strong,Founder holds a B.Tech in Mechanical Engineering with 25+ years of industry experience,strong,"Serves polymer additives market tied to growth in packaging, automotive, and coatings sectors",weak,"No visible hiring, expansion, or certification updates beyond ISO 9001; limited public signals of scale-up",fit,"Some product and industry depth, but weak growth signals",R Chemine has been quietly building a specialty additives portfolio for plastics and rubber for 12 years — a conversation with Raj Parikh around transitioning from distribution to proprietary manufacturing or scaling their R Chem Addwax line could be a sharp opener
Annexe Chem Private Limited,https://annexechem.com/ ,Vadodara,specialty chemicals,"food-grade, pharma-grade, and lab-grade chemicals", Rs.10-50Cr ,Mr. Kalpesh Patel,MD,20+ years in chemicals,strong,"Operates an FDA-GMP certified manufacturing facility at Savli, Vadodara with GLP-approved lab",strong,Headquartered and manufacturing in Vadodara with domestic and export presence,strong,"Produces pharma- and food-grade fine chemicals (IP, BP, USP, EP, JP, ACS) with multiple certifications (FDA, GMP, GLP, ISO, FSSAI, HALAL, KOSHER) enabling regulated market access",moderate,"MD has 20+ years in the chemicals industry, though formal technical background not publicly confirmed",strong,"Operates in pharma excipients and fine chemicals, benefiting from China+1 shift and global demand for certified suppliers",strong,"Active participation in industry events (CPHI India, iPHEX 2026) and maintains multiple certifications supporting expansion",strong fit,Certified manufacturer with strong positioning in regulated pharma-grade chemicals and clear exposure to export-driven growth,Annexe Chem is showing up at CPHI India 2026 and iPHEX 2026 — a conversation with Kalpesh Patel around scaling their pharma excipient exports or positioning for new regulated market approvals would be timely and highly relevant.
Kredence Performance Materials(India) Pvt. Ltd.,http://kredencematerials.com/ ,Vadodara,specialty chemicals,specialty chemicals for the solar cell manufacturing industry, Rs.50-100Cr ,Bharat Bhatnagar,Founder & MD,M.Sc. From Kurukshetra University in Organic Chemistry,moderate,"Operates a facility in Vadodara for processing and packaging of PV-grade chemicals, indicating formulation capability rather than full-scale manufacturing",strong,Headquartered and operating in Vadodara with Make-in-India positioning and international customers,strong,"Focuses on high-purity wet chemistry chemicals specifically for solar cell manufacturing, with collaboration with RENA Technologies (Germany)",strong,Founder & MD holds an M.Sc. in Organic Chemistry with domain experience in specialty chemicals,strong,"Operates in solar manufacturing supply chain, benefiting from India’s renewable energy push and PLI incentives",strong,"Has international clients (e.g., Kalyon PV) and active partnerships (RENA Technologies), indicating expansion in a growing segment",strong fit,"Niche, technically differentiated player in a high-growth solar chemicals segment with a technical founder and clear market positioning",Kredence is racing to serve 15-17 GW of India's solar wet chemistry needs — a conversation with Bharat Bhatnagar around scaling their supply chain or expanding their RENA monoTEX® partnership would land right in the middle of their biggest growth challenge
Globomotive,https://www.globomotive.com/ ,Vadodara,performance chemicals,"paints dryers, catalyst, Inks/pigments, stabilizers industrial chemicals", Rs.10-50Cr ,Anand Shah,CEO,MBA in Management Information Systems from Columbia Southern University,weak,"Website positions the company as a sourcing/distribution platform across chemicals and multiple industrial categories, with no manufacturing facilities or production details mentioned",strong,"Vadodara, Gujarat. India-based.",weak,"Multi-category portfolio including chemicals, wires, cables, fasteners, and auto consumables with no proprietary products or specialization",weak,CEO holds an MBA in MIS with no visible technical or chemical industry background,weak,Operates across industrial supply chains with steady demand but no focused exposure to high-growth specialty segments,weak,"No visible hiring, expansion activity, certifications, or recent updates on website",fail,"Distribution-focused business with no manufacturing capability, differentiation, or alignment with specialty chemical ICP","Not applicable — not a manufacturer, doesn't fit the ICP at all"
Indiana Chem-Port,https://www.indianachem-port.com/ ,Vadodara,specialty chemicals,"Fine Chemical, Bulk Reagents, Bulk Ingredients, ACS Reagent, LR, AR & GR Reagent, Pharmacopoeia, Food & Nutraceutical, Ultra Pure Trace Metal, and inorganic fine chemical", Rs.10-50Cr ,Abhi Patel,Founder & Owner,,strong,"Operates a manufacturing facility at Makarpura GIDC, Vadodara with GMP-FDA and ISO certifications and 40+ years of operations",strong,Headquartered and manufacturing in Vadodara with export presence,strong,"Produces high-purity inorganic fine chemicals across AR, GR, ACS, IP, BP, and USP grades, supplying major pharma companies",weak,Decision-maker identified but no publicly verified technical or educational background available,strong,"Operates in pharma excipients and fine chemicals, benefiting from global demand and China+1 shift",moderate,"Long-standing client base and multiple certifications, but limited visibility on recent expansion or hiring activity",strong fit,Established manufacturer of high-purity fine chemicals with strong pharma customer base and exposure to export-driven growth,Indiana Chem-Port has been quietly supplying pharma majors like Sun Pharma and Torrent for decades — a conversation around scaling their high-purity excipients capacity or breaking into regulated export markets (US/EU) would be very timely given the China+1 wave.
Aries Chemtech,https://arieschemical.com/ ,Vadodara,performance chemicals,"water treatment chemicals, corrosion inhibitors, polymers, phosphonates, quaternary ammonium compounds, aerosol sprays.", Rs.100-300Cr ,Bharat Patel,Founder & MD,,moderate,"Indicates manufacturing and in-house lab capabilities, but no clear industrial facility or production scale details provided",strong,Based in Vadodara with India-based operations,weak,"Portfolio consists of standard water treatment chemicals (phosphonates, polymers, quats) with no proprietary formulations or unique positioning",weak,Founder identified but no verifiable technical or educational background available,moderate,Operates in water treatment chemicals with steady industrial demand but limited exposure to high-growth specialty segments,weak,"Small scale with no visible hiring, expansion, or recent certifications beyond basic ISO",fail,"Limited differentiation, unclear manufacturing scale, and weak growth signals",Not applicable — doesn't fit the ICP
Transpek Industry Ltd.,http://transpek.com/ ,Vadodara,specialty chemicals,"Chlorination (Inorganic Chemicals), Acid Chlorination with Thionyl Chloride (Acid Chlorides & Fatty Acid Chlorides), Alcohol Chlorination with Thionyl Chloride (Alkyl Chlorides), Friedel-Crafts Reactions, Sulfonation and Amidation.", Rs.300-500Cr ,,,Not evaluated — auto-disqualified on revenue.,,,,,,,,,,,,,fail,Disqualified in revenue. Too big company,Not applicable — doesn't fit the ICP
Avid Organics,https://www.avidorganics.net/en ,Vadodara,specialty chemicals,"Carboxylic Acids & Esters, Amino Acids, Disinfectant and Antiseptics, Fungistatic/ Bacteriostatic Agents, Flavors & Fragrances, Personal Care, Nutrition, Pharmaceutical, Agrochemical, Industrial Sectors, Glycine, Glycolic Acid, Taurine, and Vanillin", Rs.50-100Cr ,Dheeraj Jain,"Founder, MD & CEO","a chemical engineer, graduated from the Manipal Institute of Technology ",strong,"Operates an 18,000 sq. m. manufacturing facility in Vadodara with ~4,200 MT annual capacity",strong,Manufacturing based in Vadodara with international subsidiaries for sales,strong,"Produces specialty chemicals such as glycolic acid and amino acids with proprietary product lines, including bio-based variants for regulated markets",strong,Founder & MD is a chemical engineer from Manipal Institute of Technology with prior industry experience,strong,"Operates in specialty chemicals for pharma, personal care, and nutrition with strong export demand and China+1 tailwinds",strong,Recently launched a bio-based glycolic acid product at an international expo and has expanded presence through overseas subsidiaries,strong fit,"Highly differentiated specialty manufacturer with technical leadership, global product positioning, and strong growth momentum",Avid Organics just launched AviGa™ Bio HP70 at in-cosmetics Global Paris in April 2026 — the world's first commercial-scale bio-based glycolic acid.
Acelor Industries Pvt. Ltd.,https://www.acelor.in/ ,Vadodara,specialty chemicals,"specialty and performance chemicals, serving industries in agrochemicals, road construction, and custom applications.", <Rs.10Cr ,Pramod Devaram Patil,Director,,weak,"MCA records list activity as wholesale of industrial chemicals, with no manufacturing facility or production details mentioned",strong,"Registered and operating in Vadodara, Gujarat",weak,"No identifiable proprietary products, certifications, or niche specialization; positioning remains broad",weak,No decision-maker information or technical background found,moderate,Operates in industrial chemical supply with general demand but no focused exposure to high-growth specialty segments,weak,"Recently incorporated (2024) with minimal operational signals, no certifications, hiring, or facility information",fail,"Early-stage, likely trading-focused entity with no manufacturing capability, differentiation, or growth visibility",Not applicable — doesn't fit the ICP
Adroit Naturals Pvt. Ltd.,https://adroitnaturals.com/ ,Vadodara,specialty chemicals,"Pharmaceutical Grade Pure Nicotine, Nicotine Salts Derivatives, Chemically Synthesized APIs, Pharmaceutical Intermediates & Specialty Chemicals.", Rs.50-100Cr ,Rajesh Savaniya,Founder & CEO,,strong,"Operates GMP-compliant manufacturing facilities in Vadodara with in-house R&D, QA/QC, and advanced analytical instrumentation",strong,"Registered and manufacturing in Vadodara, Gujarat with dedicated plant at Manjusar, Savli",strong,"Produces high-purity pharmaceutical-grade nicotine and derivatives (EP/USP), requiring advanced purification and distillation capabilities",weak,Decision-maker identified but no publicly verifiable technical or scientific background found,strong,"Operates in nicotine replacement therapy and next-gen nicotine products, with strong global demand and export potential",moderate,"Part of a multi-entity group with global customer base and international presence, though limited visibility on recent expansion or hiring activity",strong fit,"Highly differentiated manufacturer in a regulated niche segment with strong export demand, despite unclear technical leadership",Adroit is one of the very few Indian manufacturers producing pharmaceutical-grade nicotine polacrilex at >99.9% purity — a product most global NRT brands still source from outside India. A conversation with the Adroit team around scaling their capacity to meet growing nicotine pouch demand from European and US markets would be very timely.
Chemtech Intermediates Ltd.,https://cipl.co/ ,Vadodara,specialty chemicals,Pharmaceutical chemicals, Rs.100-300Cr ,Ripalkumar Natvarlal Patel,MD,,strong,"Operates a manufacturing facility at Nandesari GIDC, Vadodara with established process infrastructure and ISO certifications",strong,Headquartered and manufacturing in Vadodara with India-based operations,moderate,"Produces pharma intermediates such as phenyl acetic acid and benzyl cyanide, which require process capability but are not highly differentiated",weak,Decision-maker identified but no publicly verifiable technical or scientific background found,moderate,"Serves pharma intermediate markets with steady demand, though not a high-growth niche",moderate,"Reported strong revenue growth in FY2023 and holds a CRISIL BBB-/Stable rating, though no clear expansion signals",fit,"Established manufacturer with process capability, but limited differentiation and moderate growth outlook",Chemtech has been quietly manufacturing Phenyl Acetic Acid and Benzyl Cyanide at Nandesari GIDC for 30 years — and their 63% revenue jump in FY2023 suggests something is changing internally. A conversation with Ripal Patel around structuring that growth and building operational accountability systems could be very well timed.
Kranti Chemicals,https://www.krantichemicals.com/ ,Vadodara,specialty chemicals,"Leading Chemical Exporter, Chemical Manufacturer, KrantiChemicals , ChemicalManufacturer, ChemicalExporter, CustomSolutions, IndustrialManufacturing, TrustedSupplier, QualityProducts, and India", Rs.50-100Cr ,Nikhil Patel,Co-founder,MBA from Christ College,weak,Describes itself as a distribution and export business with no manufacturing facility or production details provided,strong,"Based in Vadodara, Gujarat with India-based operations",weak,"Portfolio consists of commodity inorganic chemicals (ferric chloride, potassium chloride, sulphuric acid) with no proprietary products or specialization",weak,Co-founder holds an MBA with no visible technical or chemical industry background,weak,Operates across multiple industrial sectors with steady demand but no focused exposure to high-growth specialty segments,weak,"Small team size and no visible certifications, hiring, or expansion activity",fail,"This is a trading and distribution business presenting itself as a manufacturer. Commodity product mix, no confirmed production facility, non-technical founder, and no differentiation whatsoever. Auto-drop on C1 and C3.","Not applicable — not a manufacturer, doesn't fit the ICP at all"
CLEVER PATHWAY PVT LTD,http://www.cleverpathway.com/ ,Vadodara,specialty chemicals,"ndustrial chemicals, phase transfer catalyst, quats, compounds, pharmaceutical api's, bulk drugs, formulation, laboratory chemicals", <Rs.10Cr ,Tejass Parikh,Director,B.Sc. From Jaipur National University in Environmental Science,weak,"Describes itself as importer/supplier and sourcing partner with no manufacturing facility, plant, or production details mentioned",strong,"Based in Vadodara, Gujarat with India-based operations",weak,"Extremely broad catalogue (40,000+ products) across APIs, industrial chemicals, food and construction chemicals with no proprietary products or specialization",weak,Director holds a B.Sc. in Environmental Science with no clear chemical engineering or manufacturing background,moderate,Operates across multiple chemical supply segments with steady demand but no focused exposure to high-growth specialty niches,weak,"Recently incorporated (2022) with no visible certifications, hiring, expansion, or facility signals",fail,"Likely a sourcing/distribution business with no manufacturing capability, differentiation, or growth visibility",Not applicable — doesn't fit the ICP
